source,target,tgt_lng
Gene,Gene,
Margueritte,Margueritte,
Reid,Reid,
Parker,Parker,
Grant,Grant,
Enterprise Technology Leadership,企业技术领导力,
scenius,scenius,
Steve,Steve,
Linh,Linh,
Kitchen Brigade,厨房团队,
Vibe Coded,Vibe编码,
Red Ball,红球,
Claude,Claude,
Cube,立方体,
Colored Lighting,彩色照明,
Gemini,Gemini,
Number of Photographs Taken Annually,每年拍摄的照片数量,
Vibe Coding,Vibe编码,
Vibe Coding Loop,Vibe编码循环,
AI Model,AI模型,
Context Window,上下文窗口,
Large Project Task Graph,大型项目任务图,
Leaf Nodes,叶子节点,
Ruby Admin Script,Ruby管理员脚本,
MCP-Enabled System,MCP启用系统,
Traditional Developer Loop,传统开发者循环,
Free Developer Loop,自由开发者循环,
Timescales,时间尺度,
Code Survival Graphs,代码生存图,
Clojure,Clojure,
Linux,Linux,
Scala,Scala,
Vibe Coding Testing Strategies,Vibe编码测试策略,
Parallelizing Kitchen Work,并行化厨房工作,
Task Graph,任务图,
DARIO AMODEI,DARIO AMODEI,
CEO,首席执行官,
COFOUNDER,联合创始人,
ANTHROPIC,ANTHROPIC,
AI,人工智能,
2025,2025,
coding agents,编码代理,
Claude Code,Claude Code,
software engineering,软件工程,
cognitive tasks,认知任务,
software development,软件开发,
leading,领先的,
labor market,劳动力市场,
AI models,AI模型,
societal blockers,社会阻碍因素,
misaligned actions,不一致的行为,
AI safety,AI安全,
software-building LLM agents,构建软件的LLM代理,
Steve’s post,Steve的帖子,
Junior Developer,初级开发者,
work-deferral trap,工作拖延陷阱,
6 months,6个月,
traffic dies down,交通高峰时段过去,
exponential,指数的,
July,七月,
software,软件,
1990s,1990年代,
FAANGs,FAANGs,
Facebook,Facebook,
Amazon,亚马逊,
Apple,苹果,
Netflix,Netflix,
Google,谷歌,
AI coding agent,AI编码代理,
browser automation tool,浏览器自动化工具,
UI bugs,UI错误,
March 2025,2025年3月,
TODOs,待办事项,
work streams,工作流程,
"high-quality, well-tested code",高质量、经过良好测试的代码,
game bugs,游戏错误,
programming career,编程生涯,
technology hype,技术炒作,
Gene’s Aha Moment,Gene 的顿悟时刻,
February 2024,2024年2月,
ChatGPT,ChatGPT,
Java graphics libraries,Java 图形库,
first try,第一次尝试,
forty-seven-minute pair programming session,47分钟结对编程会议,
video excerpting tool,视频剪辑工具,
months,几个月,
weekend tasks,周末任务,
technical overhead,技术负担,
software development world,软件开发世界,
hard data,硬数据,
concrete examples,具体实例,
Part 1,第一部分,
development workflow,开发流程,
"inner, middle, and outer developer loops",内部、中间和外部开发者循环,
scaling up,扩展规模,
reshaping the organizations of the future,重塑未来的组织,
exponential change,指数级变化,
chat-based coding,基于聊天的编码,
autonomous agents,自主代理,
coordinating groups of agents,协调代理群体,
experienced engineer,经验丰富的工程师,
novice,新手,
manufacturing,制造业,
productivity,生产力,
software work,软件开发,
new risks and dangers,新的风险和危险,
your job,你的工作,
life’s biggest stressors,生活中最大的压力,
learning curve,学习曲线,
work/life balance,工作/生活平衡,
bottleneck,瓶颈,
coding,编码,
soware,软件,
the future of coding,编码的未来,
Dr. Erik Meijer,埃里克·梅耶尔博士,
Dutch,荷兰,
programming language development,编程语言开发,
Visual Basic,Visual Basic,
Haskell,Haskell,
LINQ,LINQ,
Hack,Hack,
language design,语言设计,
implementation,实现,
2024,2024,
Happy Time,快乐时光,
Stack Overflow,Stack Overflow,
Dr. Andrej Karpathy,安德烈·卡帕西博士,
AI research,人工智能研究,
software lifecycle,软件生命周期,
code generation,代码生成,
architecture,架构,
features,功能,
security,安全性,
vision,愿景,
verification,验证,
manual coding,手动编码,
traditional coding,传统编码,
pre-AI style,AI前风格,
code completions,代码补全,
IDE,集成开发环境,
GitHub Copilot,GitHub Copilot,
Dr. Eirini Kalliamvakou,Eirini Kalliamvakou 博士,
coding tasks,编码任务,
labor-intensive,劳动密集型,
Chat coding,Chat 编码,
code examination,代码审查,
code modification,代码修改,
tooling,工具,
OpenAI,OpenAI,
ChatGPT-4o,ChatGPT-4o,
Agentic coding,代理编码,
real developers,真实开发者,
2021,2021年,
2023,2023年,
2026,2026年,
Cognition AI,认知AI,
Devin,Devin,
March 2024.8,2024年3月8日,
terminal application,终端应用程序,
min utilities,最小化工具,
development life cycle,开发生命周期,
development today,当今开发,
AI and coding assistants,AI和编码助手,
autonomous coding agents,自主编码代理,
Aider,Aider,
Augment Code,Augment Code,
Bolt,Bolt,
Cline,Cline,
Amazon Q,Amazon Q,
Cursor,Cursor,
Google’s Cloud Code,谷歌云代码,
Jules,Jules,
JetBrains’s Junie,JetBrains的Junie,
Lovable,Lovable,
OpenAI’s Codex,OpenAI的Codex,
Replit,Replit,
Roo Code,Roo Code,
Sourcegraph’s Amp,Sourcegraph的Amp,
Tabnine,Tabnine,
Windsurf,Windsurf,
complex enterprise environments,复杂的商业环境,
casual coders,休闲程序员,
performance,性能,
reliability,可靠性,
cost,成本,
active participant,积极参与者,
DevOps movement,DevOps运动,
development,开发,
conditions,条件,
DORA research group,DORA研究组,
Part 4,第4部分,
FAAFO,FAAFO,
debugging,调试,
testing,测试,
documentation,文档,
back burner,备选,
project spectrum,项目范围,
ROI,投资回报率,
trade-offs,权衡,
development approach,开发方法,
specialists,专家,
disciplines,学科,
communication challenges,沟通挑战,
coordination costs,协调成本,
infrastructure,基础设施,
user problems,用户问题,
cool stuff,酷炫事物,
book,书籍,
programming work,编程工作,
societal change,社会变革,
ability to explore options,探索选项的能力,
rapidly prototype,快速原型设计,
AI-assisted programming,人工智能辅助编程,
chat programming,聊天编程,
in-place editing,原地编辑,
clusters of agents,代理集群,
badged agent employees,带徽章的代理员工,
Slack,Slack,
Teams,Teams,
enduring principles,持久原则,
mental models,心智模型,
AI-assisted development,人工智能辅助开发,
Figure 0.1,图0.1,
celebrity chef,名人厨师,
international culinary empire,国际餐饮帝国,
journeys to vibe coding,编码之旅,
veteran programmer,资深程序员,
major tech companies,大型科技公司,
developer productivity,开发者生产力,
platform-first architecture,平台优先架构,
safer programming languages,更安全的编程语言,
deprecating APIs,废弃API,
Kythe,Kythe,
Google Code Search,谷歌代码搜索,
Sourcegraph,Sourcegraph,
Head of Engineering,工程总监,
radical technology change,激进的技术变革,
Archmage,大法师,
2022,2022年,
Wyvern,Wyvern,
multiplayer online game,多人在线游戏,
1995,1995,
"250,000","250,000",
volunteer content and code contributors,志愿者内容和代码贡献者,
four million lines of code,四百万行代码,
configuration,配置,
thirty years,三十年,
mildly deceased elephant,轻度死亡的象,
aspirations,愿望,
maintenance mode,维护模式,
Gene Kim,Gene Kim,
Enterprise Technology Leadership Summit,企业技术领导力峰会,
Las Vegas,拉斯维加斯,
vibe coding exploration,vibe 编程探索,
pair programming sessions,结对编程会议,
experts,专家,
long debates,长时间辩论,
career,职业生涯,
Gene’s Journey,Gene 的旅程,
high-performing technology organizations,高性能技术组织,
programming,编程,
GenAI,通用人工智能,
UNIX,UNIX,
Purdue University,普渡大学,
Tripwire,Tripwire,
IPO,首次公开募股,
computer science,计算机科学,
C and C++,C和C++,
Excel,Excel,
PowerPoint,PowerPoint,
Perl,Perl,
Ruby,Ruby,
system administration,系统管理,
Dr. John Launchbury,约翰·兰彻伯里博士,
Mike Nygard,迈克·奈格德,
DevOps,DevOps,
modularity,模块化,
The Wall Street Journal,华尔街日报,
Death of the Junior Developer,初级开发者之死,
CHOP,CHOP,
chat-oriented programming,面向聊天的编程,
Steve Yegge,Steve Yegge,
June,六月,
monolith,单体,
vibe coded tools,Vibe编码工具,
writing process,写作过程,
web application,网络应用程序,
copying/pasting,复制粘贴,
switching,切换,
Google Docs Add-on,Google Docs插件,
LLM,大语言模型,
token,令牌,
commit,提交,
branch,分支,
product managers,产品经理,
infrastructure experts,基础设施专家,
developer teams,开发团队,
coding revolution,编码革命,
trial and error,试错,
wild success,巨大成功,
From Our Journeys to Yours,从我们的旅程到你的旅程,
React,React,
JavaScript,JavaScript,
Kotlin,Kotlin,
Android,Android,
iOS,iOS,
Python,Python,
Terraform,Terraform,
Kubernetes,Kubernetes,
CTO,CTO,
Kent Beck,Kent Beck,
ML Engineers,机器学习工程师,
AI Engineers,人工智能工程师,
package managers,包管理器,
human and AI assistants,人类和人工智能助手,
big tech,大型科技公司,
enterprise,企业,
Technology Leaders,技术领导者,
new horizon,新视野,
non-technical,非技术性,
hands-on development,动手开发,
developer environment,开发者环境,
Product Owners,产品负责人,
UX,用户体验,
front-end feature,前端特性,
infrastructure folks,基础设施人员,
performance analyzers,性能分析器,
migration utilities,迁移工具,
scaling automation,扩展自动化,
Level 99 Heroes Logging Back In,Level 99 英雄回归,
npm,npm,
version control,版本控制,
commits,提交,
code reviews,代码审查,
unit testing,单元测试,
code linting,代码检查,
compiler errors,编译错误,
Sourcegraph Amp,Sourcegraph Amp,
VP of Finance,财务副总裁,
leaderboard,排行榜,
beginner-friendly,适合初学者,
Students,学生,
job market,就业市场,
developer,开发者,
portfolio,作品集,
skills,技能,
Tech Adjacent Roles,技术相关角色,
Program Managers,项目经理,
Analysts,分析师,
QA,质量保证,
Customer Service,客户服务,
Sales,销售,
Finance,财务,
HR,人力资源,
Marketing,市场营销,
organization,组织,
executives,高管,
LLMs,大语言模型,
Intel 8086 assembly language,英特尔8086汇编语言,
Java,Java,
Git,Git,
production code,生产代码,
Grab,Grab,
functional Lisp programming language,功能性Lisp编程语言,
tech leads,技术负责人,
managers,管理者,
human and AI contributors,人类和AI贡献者,
cultural norms,文化规范,
organization-wide standards,组织范围内的标准,
AI sous chefs,AI助理厨师,
interviewing,面试,
enterprise case studies,企业案例研究,
fast feedback loops,快速反馈循环,
high standards,高标准,
rigorous judgment,严格的判断,
Facebook Hack,Facebook Hack,
PHP,PHP,
static typing,静态类型,
type safety,类型安全,
Mark Zuckerberg,马克·扎克伯格,
Meta,Meta,
agentic coding assistants,代理编码助手,
Grok,Grok,
Andrew Flick,安德鲁·弗利克,
Microsoft,微软,
MVP,MVP,
Word,Word,
VIBE CODE,VIBE编码,
AI-assisted kitchen,AI 辅助厨房,
conversational AI,对话式 AI,
assembly,汇编,
high-level languages,高级语言,
punch cards,穿孔卡片,
IDEs,集成开发环境,
JavaScript toolchain,JavaScript 工具链,
exponential graphics programming revolution,指数级图形编程革命,
Part,部分,
sous chefs,副厨师,
1960s,20世纪60年代,
Star Trek,星际迷航,
AI assistants,AI助手,
software productivity,软件生产力,
Chat and agentic programming,聊天和代理编程,
working software,可工作的软件,
implementer,实施者,
advisor,顾问,
fellow designer and architect,设计师和架构师,
code reviewer,代码审查员,
pair programmer,结对程序员,
Tesla,特斯拉,
neural networks,神经网络,
machine learning,机器学习,
sidebar,侧边栏,
diffs,差异,
bugs,错误,
work flow,工作流程,
Twitter,Twitter,
Y Combinator,Y Combinator,
Silicon Valley,硅谷,
Winter 2025 batch,2025年冬季班,
frontier AI labs,前沿AI实验室,
startups,初创公司,
Tobi Lutke,Tobi Lutke,
Shopify,Shopify,
Canadian,加拿大,
publicly traded company,上市公司,
annual revenue,年收入,
headcount,员工人数,
production,生产,
Canva,Canva,
principal engineer,首席工程师,
GitLab,GitLab,
Sergey Brin,Sergey Brin,
product direction,产品方向,
Brin,布林,
product engineer,产品工程师,
fundamental shift,根本性转变,
AI coding tools,人工智能编码工具,
AI capabilities,人工智能能力,
approaches,方法,
Karpathy,Karpathy,
Humphreys,Humphreys,
security reviews,安全审查,
test coverage,测试覆盖率,
blast radius management,影响范围管理,
operational excellence,运营卓越,
security code,安全代码,
test suites,测试套件,
legacy systems,遗留系统,
code base,代码库,
behavior,行为,
confidence,信心,
engineering discipline,工程纪律,
head chef,主厨,
rigorously,严格地,
exponentially,指数地,
Dr. Karpathy,Karpathy博士,
10x gains,10倍增益,
mediocre developer,平庸的开发者,
final manuscript,最终稿,
editors,编辑,
productivity tool,生产力工具,
tedious and error-prone,繁琐且易出错,
manuscript,手稿,
Part 3,第3部分,
signposting,指引,
outline,大纲,
clipboard,剪贴板,
Markdown parser,Markdown 解析器,
book modification visualizations,书籍修改可视化,
Markdown,Markdown,
hierarchical tree,层次树,
test suite,测试套件,
Git history,Git历史,
book manuscript,书籍手稿,
array slicing syntax,数组切片语法,
race condition,竞态条件,
workaround,解决方案,
Google Docs,Google Docs,
Git commits,Git提交,
book text,书籍文本,
array slicing,数组切片,
10x productivity gain,10倍生产力提升,
visualization dashboard,可视化仪表盘,
charting libraries,图表库,
configuration options,配置选项,
data files,数据文件,
bad data,无效数据,
user interactions,用户交互,
AI assistant,AI助手,
line chef,线厨,
Michelin stars,米其林星级,
overdone,过度烹饪,
sauce,酱料,
responsibility,责任,
final result,最终结果,
critical eye,批判性眼光,
AI-generated solutions,AI生成解决方案,
AI agents,AI代理,
project manager,项目经理,
NFL,美国国家橄榄球联盟,
Michigan,密歇根州,
FAAFO menu,FAAFO菜单,
house rules,家规,
dining room,餐厅,
regenerate code,重写代码,
AI breakthroughs,人工智能突破,
developers,开发者,
Microso,微软,
Jonathan Larson,Jonathan Larson,
GraphRAG,GraphRAG,
1993 id Soware DOOM,1993年id Software DOOM软件,
player jumping,玩家跳跃,
3D internal model,3D内部模型,
player state,玩家状态,
input handling,输入处理,
level logic,关卡逻辑,
ITRevolution.com,ITRevolution.com,
languages,语言,
tools,工具,
knowledge,知识,
capabilities,能力,
decades,十年,
roadblocks,障碍,
Yarn,Yarn,
bundlers,打包器,
webpack,webpack,
Rollup,Rollup,
transpilers,转换器,
Babel,Babel,
task runners,任务运行器,
gulp,gulp,
Grunt,Grunt,
testing frameworks,测试框架,
CSS preprocessors,CSS 预处理器,
build toolchains,构建工具链,
deployment pipelines,部署管道,
Docker,Docker,
AWS,AWS,
infrastructure-as-code,基础设施即代码,
GCP,GCP,
Azure,Azure,
div element,div 元素,
CI pipeline,CI 管道,
Terraform scripts,Terraform 脚本,
complexity,复杂性,
abstraction layer,抽象层,
polygons,多边形,
shaders,着色器,
programming languages,编程语言,
teletypes,电传打字机,
GitHub,GitHub,
learning cycle,学习周期,
Computer Graphics,计算机图形学,
Skyrim,天际,
transformation programming,变换编程,
Jobs,工作,
university courses,大学课程,
Water Physics,水物理,
Motion Capture,动作捕捉,
1992,1992,
API call,API调用,
3D worlds,3D世界,
pixel,像素,
Tony DeRose,Tony DeRose,
Pixar’s Research Group,皮克斯研究小组,
putPixel(),putPixel(),
lighting,光照,
object scenes,场景物体,
animation,动画,
teapots,茶壶,
chess pieces,棋子,
physics engine,物理引擎,
hitbox,碰撞盒,
hardware,硬件,
Unity,Unity,
pixel operations,像素操作,
modeling objects,建模对象,
graphics programmer,图形程序员,
Conclusion,结论,
PhD,博士,
Unity or Unreal Engine,Unity或Unreal Engine,
vertex normals,顶点法线,
semicolons,分号,
Jose Aguinaga,Jose Aguinaga,
Introduction,引言,
video excerpt tool,视频摘要工具,
podcasts,播客,
agentic AI,有代理的AI,
people can’t read my mind,人们无法读懂我的心思,
coordination,协调,
people,人们,
team,团队,
autonomously,自主地,
solutions,解决方案,
optionality,可选择性,
pair programming,结对编程,
maddeningly,令人发狂地,
frustrating,令人沮丧的,
hours,小时,
circles,圆形,
ffmpeg,ffmpeg,
captions,字幕,
images,图像,
video,视频,
AI collaborator,AI 合作伙伴,
command-line arguments,命令行参数,
Gradle build scripts,Gradle 构建脚本,
vigilance,警觉,
good judgment,良好的判断力,
rabbit hole,兔子洞,
change course,改变方向,
Vibe coders,Vibe 编码者,
internet connection,互联网连接,
Old-style coding,旧式编码,
seventy-mile desert road,七十英里沙漠公路,
car,汽车,
Be More Ambitious,更具雄心,
build,构建,
Gene’s first working version,Gene 的第一个工作版本,
work,工作,
projects,项目,
beneﬁt,好处,
difficulty,难度,
payoff,回报,
investment,投资,
opportunity,机会,
return,回报,
spectrum,范围,
applications,应用,
specialist knowledge,专业知识,
knowledge gaps,知识空白,
"Small-ish, low-return jobs",小型低回报工作,
quick wins,快速胜利,
tests,测试,
UI improvements,UI 改进,
refactorings,重构,
tasks,任务,
broken windows syndrome,破窗理论,
Anthropic’s Claude Code team,Anthropic的Claude Code团队,
customer support,客户支持,
bug,错误,
fix,修复,
priority,优先级,
multi-class prediction model,多类预测模型,
summer intern project,暑期实习生项目,
superstar intern,超级实习生,
dimension of value,价值维度,
Be More Autonomous,更加自主,
June 2024,2024年6月,
Head of AI,AI负责人,
Rishabh Mehrotra,Rishabh Mehrotra,
demo,演示,
concept to deployment,从概念到部署,
budget,预算,
intern,实习生,
stakeholder,利益相关者,
UX team,用户体验团队,
infrastructure team,基础设施团队,
radical autonomy,激进自主,
Amazon’s 2-pizza teams,亚马逊的2比萨团队,
customer contacts per order,每单客户联系,
checkout flow,结账流程,
help system,帮助系统,
radical autonomy and independence of action,激进自主和行动独立性,
problem space,问题空间,
solution,解决方案,
tireless collaborator,不知疲倦的合作伙伴,
organizational friction,组织摩擦,
mind reading,心灵感应,
junior surgeons,初级外科医生,
surgical robots,外科机器人,
senior surgeons,资深外科医生,
database schema,数据库模式,
Dr. Matt Beane,马特·比恩博士,
Economist,经济学家,
Dr. Daniel Rock,丹尼尔·洛克博士,
OpenAI Jobs Report,OpenAI 就业报告,
the Driﬁ,Driﬁ,
Pacific Rim,环太平洋,
mechs,机甲,
GitHub app,GitHub 应用程序,
PRD,PRD（产品需求文档）,
Scott Belsky,Scott Belsky,
Chief Product Officer,首席产品官,
Adobe,Adobe,
collapsing the stack,堆栈折叠,
GenAI coding tools,通用人工智能编码工具,
Fernando Cornago,Fernando Cornago,
SVP of Digital Technology,数字技术高级副总裁,
Adidas,阿迪达斯,
Annoying Time,烦人时光,
slot machine,老虎机,
dopamine hit,多巴胺冲击,
neurochemical reward,神经化学奖励,
jam sessions,即兴创作会,
technology stack,技术栈,
one-way doors,单行门,
architectural decisions,架构决策,
cost of exploring,探索成本,
complex libraries or frameworks,复杂库或框架,
capability,能力,
different ways,不同方式,
architectural patterns,架构模式,
RESTful,RESTful,
GraphQL,GraphQL,
gRPC,gRPC,
serialization,序列化,
error handling,错误处理,
client integration,客户端集成,
finance theory,金融理论,
future decision,未来决策,
infinite malleable,无限可塑,
deployment,部署,
real-world constraints,现实世界约束,
architectural choice,架构选择,
library selection,库选择,
design pattern,设计模式,
uncertainty,不确定性,
risk/reward ratio,风险/回报率,
AI field,人工智能领域,
Toyota,丰田,
Andon cord pulls,安灯线拉动,
Seventy years,七十年来,
model years,车型年,
William L. White Professor of Business Administration,威廉·L·怀特商业管理教授,
Harvard Business School,哈佛商学院,
Carliss Baldwin,卡尔莉斯·鲍德温,
parallelize experimentation,并行化实验,
microservices rearchitecture,微服务重构,
business models,商业模式,
module architecture,模块化架构,
option value,选项价值,
Parts 3 and 4,第三部分和第四部分,
sous chef,副厨师长,
sommelier,酒品师,
detective,侦探,
accountant,会计师,
rat catcher,捕鼠人,
master plumber,首席水暖工,
award-winning author,获奖作家,
tax planner,税务筹划师,
surgeon,外科医生,
taxidermist,动物标本制作师,
lawyer,律师,
concierges,礼宾部人员,
24/7,24小时全天候,
syntax,语法,
Brooks’s Law,布鲁克斯法则,
Dr. Fred Brooks,Fred Brooks 博士,
The Mythical Man-Month,人月神话,
Dr. Steven Spear,Steven Spear 博士,
Wiring the Winning Organization,构建赢利组织,
Dr. Robert Merton,Robert Merton 博士,
Drs. Fischer Black and Myron Scholes,Fischer Black 和 Myron Scholes 博士,
options pricing,期权定价,
Nobel Prize in Economic Sciences,诺贝尔经济学奖,
Tidy First?: A Personal Exercise in Empirical Software Design,整洁第一？实证软件设计的一次个人练习,
Vanishing Tests,消失测试,
Godzilla,哥斯拉,
Tokyo,东京,
Eldritch Horror,Eldritch 恐怖,
tokens,标记,
intermediate working files,中间工作文件,
Vanishing Repository,消失的存储库,
Wyvern TypeScript client code,Wyvern TypeScript客户端代码,
Claude Code tokens,Claude代码令牌,
Bitbucket repository,Bitbucket存储库,
five stages of grief,五个悲伤阶段,
Git branches,Git 分支,
NVIDIA,英伟达,
CNC machine,CNC机床,
Luke Burton,Luke Burton,
coding agent,编码代理,
vibe coding session,心情编码会话,
factory restore,出厂恢复,
AI-initiated coding mistakes,由AI触发的编码错误,
Trello API,Trello API,
Java resources directory,Java资源目录,
agent,代理,
directions,指令,
code,代码,
le system,系统,
project directory,项目目录,
instruction following,指令遵循,
culinary magic,烹饪魔法,
physical hardware,物理硬件,
AI vendor,AI供应商,
cautionary tales,警示故事,
techniques,技术,
safeguards,安全措施,
AI sous chef,AI副厨师长,
productivity asset,生产力资产,
worst nightmare,最糟糕的噩梦,
restaurant chain,餐饮连锁,
State of DevOps Reports,DevOps 状态报告,
Google’s DORA research group,谷歌的DORA研究小组,
2024 report,2024年报告,
stability,稳定性,
throughput,吞吐量,
deployment frequency,部署频率,
lead times,提前期,
DORA anomaly,DORA异常,
software professionals,软件专业人士,
knowledge work,知识工作,
Industrial Revolution,工业革命,
internet,互联网,
US,美国,
economic value,经济价值,
high-wage knowledge workers,高薪知识工作者,
mathematicians,数学家,
tax preparers,税务准备人员,
financial analysts,财务分析师,
writers,作家,
web designers,网页设计师,
motorcycle mechanics,摩托车技师,
short-order cooks,快餐厨师,
floor sanders,地板打磨工,
Brendan Hopper,Brendan Hopper,
Commonwealth Bank of Australia,澳大利亚联邦银行,
moving atoms,移动原子,
manual dexterity,手动灵巧,
real-time physical feedback,实时物理反馈,
software developers,软件开发人员,
information wranglers,信息管理者,
legal precedents,法律先例,
