source,target,tgt_lng
cognitive overhead,认知开销,
helper agent,辅助代理,
new features,新特性,
bug reports,错误报告,
backlogs,待办事项列表,
incidents,事件,
telemetry,遥测数据,
triaging,分类,
community,社区,
duplicates,重复,
Dr. Carliss Baldwin,卡尔利斯·鲍德温博士,
mix and match,混搭,
all or nothing,全有或全无,
micro-automation,微自动化,
spiral stair,螺旋楼梯,
cosmic horrors,宇宙恐怖,
surgical precision,外科精准,
erent,的,
stati,统计,
ons,量,
di,第,
sh,十,
Idle Agents,空闲代理,
self-critique,自我批评,
core,核心,
tracer,tracer,
scripting,脚本编写,
slinging,摆动,
strategic,战略的,
long-term,长期的,
direction,方向,
ambitious,雄心勃勃的,
multi-week,多周的,
multi-month,多月的,
value,价值,
maxed-out,满载的,
M4 Mac Mini,M4 Mac Mini,
OSS model,开源模型,
local,本地,
H.P. Lovecraft,H.P. Lovecraft,
cosmic monsters,宇宙怪物,
alien,外星,
incomprehensible,不可理解的,
perceiving,感知,
humans,人类,
insane,疯狂,
THE OUTER DEVELOPER LOOP,外部开发者循环,
kitchen bustle,厨房繁忙,
supply chain,供应链,
outer-loop mastery,外部循环精通,
stewnamis,混乱,
internal APIs,内部 API,
Steve’s multi-agent merge rescue,Steve 的多代理合并救援,
Gene’s API rollback near miss,Gene 的 API 回滚险些失败,
architectural safeguards,架构保护措施,
operational issues,运营问题,
API breakage,API 破坏,
workspace collisions,工作空间冲突,
systematic boundaries,系统边界,
auditing practices,审计实践,
multi-agent coordination,多代理协调,
application programming interface,应用程序编程接口,
Google Cloud,谷歌云,
2020,2020,
Git commit hash,Git提交哈希,
code accretion,代码累积,
code destruction,代码破坏,
Figure 16.1,图16.1,
Rich Hickey,Rich Hickey,
A History of Clojure,A History of Clojure,
ACM on Programming Languages,ACM on Programming Languages,
SRC-d,SRC-d,
Hercules,Hercules,
Git History Analysis,Git历史分析,
GitHub Repository,GitHub仓库,
JetBrains,JetBrains,
backward compatibility,向后兼容性,
horizontal slices,水平切片,
smooth sailing,平稳航行,
jagged mountainous downward slopes,锯齿状的山坡向下倾斜,
API contracts,API 合同,
user base,用户基础,
incompatible,不兼容的,
excuse,借口,
Stewnami,Stewnami,
pastry chef,糕点厨师,
batter,面糊,
dinner service,晚餐服务,
production systems,生产系统,
terminal windows,终端窗口,
staging,预演,
coding agent workspace confusion,编码代理工作空间混淆,
partitioning,分区,
markers,标记,
signposts,路标,
indirection,间接,
repositories,仓库,
API endpoints,API 端点,
Wyvern game project,Wyvern游戏项目,
wrong workspaces,错误的工作空间,
TypeScript client,TypeScript客户端,
main Java game,主Java游戏,
monorepo,单仓库,
cognitive disconnect,认知脱节,
significant,重大的,
waste,浪费,
frogs,青蛙,
war rooms,作战室,
clear boundaries,清晰的边界,
workspaces,工作空间,
sandboxed,沙箱化的,
honor system,荣誉制度,
Docker container,Docker容器,
branch names,分支名称,
coding workspaces,编码工作空间,
Gradle module name remappings,Gradle模块名称重映射,
preventive road signs,预防道路标志,
road signs,道路标志,
right window,正确的窗口,
directory,目录,
Git branch,Git 分支,
workspace,工作区,
significant accidents,重大事故,
warning signs,警示标志,
silent ones,沉默的问题,
minimalism,极简主义,
"complex, permanent network of tubes",复杂且永久的管道网络,
water line,供水管,
minimalism and modularity,极简主义和模块化,
Gene’s haunted eldritch code base,Gene 的鬼魂般令人不安的代码库,
UI spinner,UI 切换器,
mock infrastructure,模拟基础设施,
context window limitations,上下文窗口限制,
concrete enforcements,具体实施,
new library,新库,
new file,新文件,
code budgets,代码预算,
refactor aâfter,重构后,
conciseness,简洁性,
readability,可读性,
elegance,优雅性,
unnecessary dependencies,不必要的依赖,
standard library functions,标准库函数,
surgical commits,外科手术式提交,
unrelated code paths,无关代码路径,
sandboxing,沙箱化,
interface immutability,接口不可变性,
diff reviews,diff审查,
sprawl,蔓延,
architecture audits,架构审计,
coupling violations,耦合违规,
industrial kitchen brigade,工业厨房团队,
sharp memory,敏锐的记忆,
productivity beneâts,生产力益处,
challenges and complexities,挑战和复杂性,
cognitive load,认知负荷,
terminal sessions,终端会话,
workstream,工作流,
project branch,项目分支,
kitchen’s clipboard,厨房便签,
pandemonium,混乱,
productive capacity,生产力,
organizational work,组织工作,
global coordination,全球协调,
window organization tools,窗口组织工具,
merge processes,合并过程,
coordination documents,协调文档,
context sharing facilities,上下文共享设施,
coordination functionality,协调功能,
directory structures,目录结构,
repository clones,仓库克隆,
terminal workspaces,终端工作区,
modular architecture,模块化架构,
code slinging,代码抛掷,
task descriptions,任务描述,
standard industry tools,标准行业工具,
workspace multitasking issues,工作区多任务处理问题,
Go services,Go服务,
auditors,审计员,
pull request,pull请求,
programming language,编程语言,
risk level,风险等级,
Table 16.1,表16.1,
LGTM,LGTM,
Black box,黑盒,
White box,白盒,
execution paths,执行路径,
private implementation details,私有实现细节,
point failures,点故障,
system-wide,系统级的,
quadrants,象限,
Know Tech Well,熟悉技术,
white-box audit,白盒审计,
race conditions,竞态条件,
unchecked edge cases,未检查的边缘情况,
black-box testing,黑盒测试,
seven-course meal,七道菜,
production server,生产服务器,
game clients,游戏客户端,
mission-critical service,关键任务服务,
multi-layered approach,多层次方法,
red flags,红旗,
Rust’s ownership model,Rust的所有权模型,
Go’s concurrency patterns,Go的并发模式,
deleteAllData(),deleteAllData(),
side project,副项目,
smoke tests,冒烟测试,
research automation tools,研究自动化工具,
data-analysis utility,数据分析工具,
input data,输入数据,
output data,输出数据,
grinder,磨豆机,
espresso,浓缩咖啡,
classic-style vibe coding,经典风格编码,
engineer brain,工程师思维,
exponentials,指数,
"primitive, reptilian brain",原始的爬行动物脑,
Wyvern’s tests,Wyvern测试,
JVM Spock testing framework,JVM Spock测试框架,
Kotlin-based test framework,基于Kotlin的测试框架,
setup() and teardown(),setup()和teardown(),
Spock,Spock,
test functionality,测试功能,
online auction settlement process,在线拍卖结算流程,
SPSS,SPSS,
cluster analyses,聚类分析,
Python notebook,Python笔记本,
Google Colab,Google Colab,
black-box checks,黑盒检查,
calculations and clusters,计算和聚类,
Trello front-end application,Trello前端应用,
"high risk, know tech poorly",高风险，技术了解不足,
audit around the box,黑盒测试,
black-box test,黑盒测试,
Rust,Rust,
REST,REST,
ranking process,排名过程,
validation,验证,
PM,产品经理,
customer feedback,客户反馈,
support tickets,支持工单,
reviews,评论,
forum posts,论坛帖子,
recurring pain points,反复出现的痛点,
popular requests,受欢迎的请求,
user stories,用户故事,
acceptance criteria,验收标准,
A/B tests,A/B测试,
experiments,实验,
market size,市场规模,
unique edge,独特优势,
customer journey maps,客户旅程图,
friction points,摩擦点,
Aha! moments,啊哈时刻,
user experience,用户体验,
FAAFO!,FAAFO!,
dashboards,仪表板,
oven,烤箱,
stove,炉灶,
pantry shelf,储藏室货架,
ingredient stocks,原料库存,
detect signs of trouble,检测出问题迹象,
seasoned PM,经验丰富的产品经理,
fire-fighting,灭火,
shoe launch event,鞋类发布会事件,
tens of thousands,数以万计,
sneakers,运动鞋,
ordering pipeline,订单处理流程,
Java stacks,Java堆栈,
log files,日志文件,
external transport-options service,外部传输选项服务,
failed orders,失败的订单,
confusion and disruption,混乱和中断,
Jeff Bezos,杰夫·贝索斯,
speculative sci-fi,科幻设想,
telemetry data,遥测数据,
log output,日志输出,
reactive troubleshooting,反应式故障排除,
"proactive, preventive, and corrective",主动的、预防的、纠正的,
snapshotting tools,快照工具,
console logs,控制台日志,
JavaScript snippets,JavaScript代码片段,
operational playbooks,运营剧本,
decision trees,决策树,
diagnostics,诊断,
production logs,生产日志,
suspicious regions,可疑区域,
relevant code,相关代码,
fix proposals,修复建议,
command,指挥,
wishful thinking,一厢情愿的想法,
AI-driven observability,AI驱动可观察性,
catastrophic data loss,灾难性数据丢失,
systematic pipeline monitoring,系统化管道监控,
near-misses,险些错过的情况,
competitive advantages,竞争优势,
systematic detection,系统化检测,
AI-based detection,基于AI的检测,
Nobel Prize laureates,诺贝尔奖得主,
Symphony of Sugar,糖之交响曲,
Formula 1,一级方程式,
Node.js,Node.js,
Steam,Steam,
Bitbucket,Bitbucket,
main,main,
game client,游戏客户端,
week,周,
"$3,000",3000美元,
node server,Node服务器,
client source code,客户端源代码,
open terminal session,打开的终端会话,
Earth,地球,
files,文件,
save,保存,
git add,git添加,
force-push,强制推送,
PRs,PRs（Pull Request）,
week of work,一周的工作,
branch litterbug,分支垃圾虫,
branches,分支,
temp branch,临时分支,
plan,计划,
UI,用户界面,
Git push,Git推送,
branch management,分支管理,
Remote,远程,
cloud provider,云服务提供商,
hosted Git service,托管Git服务,
paranoia,偏执,
snapshots,快照,
clues,线索,
incorrect paths,错误路径,
mistaken assumptions,错误假设,
branch confusion,分支混淆,
self-preservation,自我保护,
trade-off,权衡,
digital food poisoning,数字食物中毒,
local unit tests,本地单元测试,
GPT-4,GPT-4,
static analysis tools,静态分析工具,
conceptual flaws,概念缺陷,
exploits,利用,
"May 22, 2025",2025年5月22日,
Sean Heelan,Sean Heelan,
OpenAI o3 model,OpenAI o3 模型,
Automated Guideline Enforcement,自动化规范执行,
Google’s ninety-page C++ style guide,谷歌的90页C++风格指南,
compliance,合规性,
pull request comments,拉取请求评论,
Intelligent Error Handling,智能错误处理,
CircleCI,CircleCI,
Java stack traces,Java 栈跟踪,
error logs,错误日志,
code review comments,代码审查评论,
AI quality checking,AI 质量检查,
AI-enabled reviewing tools,AI辅助审查工具,
AI engineering,AI工程,
Chip Huyen,Chip Huyen,
expensive model,昂贵模型,
risk threshold,风险阈值,
financial team,财务团队,
organizational scale,组织规模,
Steve’s Harrowing and Epic Merge Recovery Tale,Steve的惊心动魄且史诗般的合并恢复故事,
code changes,代码变更,
customer problems,客户问题,
production issues,生产问题,
customer incidents,客户事件,
pilot,试点,
deployment history,部署历史,
data science,数据科学,
re-engineered,重新设计,
fast lane,快速通道,
financial institution,金融机构,
Morgan Stanley,摩根士丹利,
production deployments,生产部署,
operational models,运营模型,
core processes,核心流程,
IT bureaucracy,IT 机构,
VM,虚拟机,
processes,流程,
monoliths,单体,
organizational rate limiters,组织速率限制器,
minimum level of capability,最小能力水平,
autonomy,自主权,
visionary architect,远见卓识的建筑师,
AI kitchen,AI厨房,
torching your bridges,烧毁你的桥梁,
Git surgery,Git手术,
commanding your AI brigade,指挥你的AI部队,
culinary empir,烹饪经验,
API bridges,API桥梁,
white-box dives,白盒深入分析,
quality gatekeeper,质量守门人,
intelligent error analysis,智能错误分析,
Git discipline,Git纪律,
remotes,远程,
temporal branches,临时分支,
operational telemetry,运营遥测,
process reform,流程改革,
high-output,高产出,
AI-augmented kitchen,AI增强厨房,
burning it down,烧毁它,
guiding rhythm,指导节奏,
memory tattoos,记忆纹身,
multi-agent choreography,多智能体编排,
GOING BIG,做大,
INDIVIDUAL DEVELOPER,个人开发者,
organizational design,组织设计,
human and systemic challenges,人和系统挑战,
Michelin-starred restaurant group,米其林星级餐厅集团,
vibe coding at scale,大规模vibe编码,
legacy code bases,遗留代码库,
2024 DORA anomaly,2024年DORA异常,
vibe coding adoption,vibe编码采用,
value creation,价值创造,
experience reports,经验报告,
conferences,会议,
rigorous science,严谨的科学,
fountain of innovation,创新之源,
open problems,开放性问题,
big leagues,高水平联赛,
Chapter 17,第17章,
organizational wiring,组织布线,
Escoffier’s kitchen brigade,埃斯科菲埃厨房团队,
kitchen operations,厨房运营,
DORA metrics anomaly,DORA指标异常,
Vibe Coding Culture,氛围编码文化,
AI adoption,人工智能采用,
hiring practices,招聘流程,
culture of innovation,创新文化,
Human-AI Development Teams,人机AI开发团队,
mind-melds,心灵融合,
roles,角色,
education,教育,
AI-driven landscape,AI驱动领域,
systemic change,系统变革,
mental frameworks,心理框架,
AI revolution,人工智能革命,
new way of working,新的工作方式,
LINE COOK,厨师,
RESTAURANTS,餐馆,
ORGANIZATIONAL ARCHITECTURE,组织架构,
DIGITAL ASSISTANTS,数字助手,
COMPLEX PROJECTS,复杂项目,
MADHOUSE,疯狂之地,
AI ARMIES,AI 军队,
SCALE,规模,
SYMPHONY,交响乐,
HIGH-PERFORMING ORGANIZATIONS,高性能组织,
DORA,DORA,
PERFORMANCE METRICS,性能指标,
ADVANCED LESSONS,高级课程,
communication flow,通信流,
Conway’s Law,康威定律,
GM–Toyota joint venture plant,通用汽车-丰田合资工厂,
NUMMI,NUMMI,
Fremont,弗里蒙特,
California,加利福尼亚,
GM,通用汽车,
workflows,工作流程,
problem-solving mechanisms,问题解决机制,
training for leaders,领导力培训,
Layer 3,第三层,
GM’s worst-performing plants,通用汽车表现最差的工厂,
workforce,劳动力,
factory capital equipment,工厂资本设备,
floor space,地面空间,
architect,架构师,
Layer 3 skills,第三层技能,
front-end,前端,
shared or common repository,共享或公共仓库,
synchronizing and merging work,同步和合并工作,
Layer 3 problem,第三层问题,
meetings,会议,
service call,服务调用,
client/server communication,客户端/服务器通信,
coordination questions,协调问题,
agents and groups of agents,代理和代理组,
parallelism,并行性,
Layer 2 tools,第二层工具,
AI ecosystems,人工智能生态系统,
Layer 2 technologies,第二层技术,
InfoSec,信息安全,
product management,产品管理,
broader organizational issues,更广泛的组织问题,
Layer 2,第二层,
agent swarms,智能体群,
Layer 3 of Layer 3,第三层的第三层,
coordination patterns,协调模式,
1890s,1890年代,
coordination at work,工作中的协调,
1870s,1870年代,
Public dining,公共餐饮,
taverns and inns,酒店和小酒馆,
simple fare,简单食物,
grand hotels,豪华酒店,
Henry Ford’s assembly line,亨利·福特的流水线,
Taiichi Ohno’s Toyota Production System,大野耐一的丰田生产系统,
hierarchies,等级制度,
standardized protocols,标准化协议,
food preparation,食物准备,
table d’hôte,套餐,
restaurant,餐厅,
Layer 3 architecture,三层架构,
Escoffier,艾斯库菲尔,
modular system,模块化系统,
specialized stations,专业工作站,
clear responsibilities,明确责任,
interfaces,接口,
mini kitchen,微型厨房,
specific tasks,特定任务,
coordinated,协调,
specialist,专家,
domain,领域,
task decomposition,任务分解,
interface design,接口设计,
software systems,软件系统,
executive chef,行政总厨,
chef de cuisine,主厨,
specification,规范,
operational manager,运营经理,
real-time coordination,实时协调,
quality control,质量控制,
Figure 17.1,图17.1,
brigade system,团队系统,
standardization,标准化,
career paths,职业路径,
junior cook,初级厨师,
Kubernetes pods,Kubernetes pods,
GitLab services,GitLab服务,
production outage,生产中断,
production software,生产软件,
operations roles,运营角色,
2007,2007,
engineering managers,工程经理,
architects,架构师,
on-call rotation,值班轮岗,
2005,2005,
market conditions,市场状况,
site outages,网站故障,
microservices,微服务,
Google+,Google+,
early 2000s,2000年代初,
service incidents,服务事件,
downstream services,下游服务,
unknown dependencies,未知依赖,
escalations,升级,
alarm,警报,
2 a.m.,凌晨2点,
feature development,功能开发,
agent-authored change,代理作者变更,
ownership,所有权,
commoditized,商品化,
software engineers,软件工程师,
new world,新世界,
PMs,项目经理,
IT operations,IT运维,
tech writers,技术作家,
democratization,民主化,
Layer 3 orchestration skills,第三层编排技能,
coordination effort,协调工作,
2-pizza teams,2个披萨团队,
vibe-coding,氛围编码,
org chart,组织结构图,
project development,项目开发,
pager calls,呼叫铃,
preventive,预防性的,
corrective,纠正性的,
DORA Metrics,DORA 指标,
State of DevOps Research program,DevOps 状态研究项目,
cross-population study,跨群体研究,
health industry,医疗行业,
early morbidity and mortality,早期发病率和死亡率,
high performance,高性能,
rigorous statistical analysis,严格的统计分析,
Deployment Lead Time,部署领先时间,
Deployment Failure Rate,部署失败率,
Failed Deployment Recovery Time,失败的部署恢复时间,
process hygiene,流程卫生,
"1,000+ lines of code","1,000+ 行代码",
ten-developer team,10人开发团队,
bad architectures,不良架构,
anomaly,异常,
conjectures,猜想,
2025 DORA research report,2025年DORA研究报告,
coding assistant licenses,编码助手许可证,
technical practices,技术实践,
software delivery life cycle,软件开发生命周期,
Layer 3 organizational wiring,第三层组织结构,
Gartner,高德纳,
Fernando,费尔南多,
Valuable Time,宝贵时间,
coding and testing,编码和测试,
Wasted Time,浪费时间,
e-commerce,电子商务,
ERP,ERP系统,
e-commerce capabilities,电子商务能力,
criticality,关键性,
failures,失败,
Layer 1,层1,
decoupled systems,解耦系统,
legacy monoliths,遗留单体,
complex ERP integrations,复杂ERP集成,
copilot,代码伙伴,
highly coupled architectures,高度耦合的架构,
Theory of Constraints,约束理论,
Eliyahu M. Goldratt,艾利雅胡·M·高德拉特,
The Goal,目标,
final prep station,最终准备站,
ERP integrations,ERP集成,
test automation,测试自动化,
software deployment,软件部署,
operations teams,运维团队,
Dev and Ops,开发与运维,
software testing,软件测试,
comprehensive test automation,全面的测试自动化,
CI/CD pipelines,持续集成/持续部署管道,
always deployable builds,始终可部署的构建,
software architecture,软件架构,
technology value streams,技术价值流,
production environments,生产环境,
throwing code over the wall,抛代码过墙,
software delivery capacity,软件交付能力,
product,产品,
Bruno Passos,Bruno Passos,
Group Product Manager,集团产品经理,
Developer Experience,开发者体验,
coding efficiency,编码效率,
task-oriented agents,面向任务的代理,
GraphQL schema,GraphQL模式,
Legacy Migration Tools,遗留迁移工具,
giant functions,巨型函数,
task-oriented,面向任务的,
Customizable Code Review Agent,可定制代码审查代理,
State of DevOps,DevOps 状态,
Sociotechnical Maestro,社会技术大师,
Quinn Slack,Quinn Slack,
loosely coupled systems,松散耦合系统,
developer uptake,开发者采用,
mavens,专家,
connectors,连接者,
salespeople,销售人员,
Sourcegraph’s VP of Finance,Sourcegraph的财务副总裁,
coding leaderboard,编码排行榜,
unexpected wins,意外胜利,
Jessie Young,Jessie Young,
bride system,团队系统,
clear ownership,清晰的归属权,
team members,团队成员,
AI-assisted,人工智能辅助的,
meal,菜肴,
AI kitchen brigade,人工智能厨房团队,
Layer 3 Focus,第三层关注,
parallelized,并行化,
high-quality output,高质量输出,
on-call rule,值班规则,
AI-generated code,AI生成的代码,
2 a.m. call,凌晨2点电话,
Adidas study,阿迪达斯研究,
AI swarms,AI集群,
coordination platforms,协调平台,
Eric S. Raymond,埃里克·S·雷蒙德,
Dr. Melvin Conway,梅尔文·康威博士,
GosuCoder,GosuCoder,
junior and senior developer,初级和高级开发者,
product manager,产品经理,
Savoy Hotel,萨沃伊酒店,
semi-technical,半技术性的,
starter cord,启动绳,
chainsaw,链锯,
hatchet,手斧,
brown-bag lunches,午餐盒午餐,
analyst report,分析师报告,
Perl script,Perl脚本,
pilot flame,引火筒火焰,
risk tolerance,风险承受能力,
FAAFO outcomes,FAAFO结果,
Feed the Fire,点燃火焰,
Token Burn,代币燃烧,
KPI,关键绩效指标,
tokens consumed and generated,消耗和生成的代币,
target,目标,
tokens burned,燃烧的代币,
Most-Improved Code Base,最佳改进代码库,
Longest Running AI Job,运行时间最长的AI任务,
A guitarist,吉他手,
locked in,锁定,
idiosyncrasies,特性,
Claude 3.5 Sonnet,Claude 3.5 Sonnet,
Malcolm Gladwell,马尔科姆·格拉德威尔,
tipping-point triad,临界点三角,
productivity surplus,生产力剩余,
grounded confidence,稳固的自信,
optimism,乐观,
innovation,创新,
Dr. Beane’s conjecture,贝恩博士的猜想,
proxy,代理,
factory output,工厂产出,
Dan Adler,丹·阿德勒,
peer pressure,同侪压力,
light users,轻度用户,
performance review,绩效评估,
Outliers,异常值,
new kitchen techniques,新的厨房技巧,
traditional software hiring,传统软件招聘,
languages mastered,掌握的语言,
frameworks used,使用的框架,
algorithms memorized,记忆中的算法,
AI pool,AI 池,
checklist questions,清单问题,
communication skills,沟通技巧,
OSS project,开源项目,
practical assessments,实际评估,
AI coding assistants,AI 编码助手,
model misunderstandings,模型误解,
veteran engineers,资深工程师,
native [vibe] coders,原生[氛围]编码者,
AI-augmented,人工智能增强,
Quinn Slack’s leaderboard,Quinn Slack的排行榜,
safety guardrails,安全护栏,
internal mavens,内部专家,
AI-augmented teams,人工智能增强团队,
Heat,热度,
token-burn leaderboards,代币燃烧排行榜,
demo days,演示日,
Aha!,啊哈！,
allergy warnings,过敏警告,
robust validation processes,强大的验证流程,
near misses,几乎错过的情况,
Spills,洒落,
blameless post-mortems,无责的复盘,
I. Claude 3.7,I. Claude 3.7,
DeepSeek,DeepSeek,
GPT-4.5,GPT-4.5,
Gemini-2.5-Pro,Gemini-2.5-Pro,
LLM timeouts,LLM超时,
Oops,哎呀！,
"clear, actionable rules",明确、可执行的规定,
team conventions,团队规范,
standard work,标准作业,
living documentation,活文档,
great guidelines,优秀的指南,
vibe coding team,vibe 编码团队,
Collaborative Cookbook,协作食谱,
great,优秀,
temperature testers,温度测试器,
chicken,鸡肉,
sanitizing,消毒,
user inputs,用户输入,
secrets,机密信息,
database queries,数据库查询,
parameterized,参数化,
comprehensive,全面的,
concise,简洁的,
development context,开发环境,
APIs,API,
project standards,项目标准,
retry pattern,重试模式,
transient failures,短暂故障,
Toyota Production System,丰田生产系统,
mechanism,机制,
monolithic internal shared code repository,单体内部共享代码库,
shared memory,共享内存,
veteran vibe coders,经验丰富的氛围编码者,
trial-and-error,试错法,
set-and-forget,设置并忘记,
guideline,指南,
Markdown plans,Markdown计划,
daily context,日常上下文,
static context,静态上下文,
token-efficient,标记效率高,
hierarchy,层次结构,
organization-wide rules,组织级规则,
static analysis,静态分析,
monthly churn,月度流失,
experiment,实验,
prototype,原型,
tribal jargon,部落术语,
Daniel Rock,Daniel Rock,
