source,target,tgt_lng
Wharton School,沃顿商学院,
the Driﬂ,‘Driﬂ’,
Paciﬁc Rim,《环太平洋》,
Jaeger,机甲,
Kaiju monsters,哥斯拉怪物,
superhuman concentration,超人类集中力,
GitHub Apps,GitHub 应用,
spec,规格,
UI flows,UI 流程,
developer capacity,开发者能力,
Robotic surgery,机器人手术,
apprenticeship model,学徒制模式,
junior,初级,
procedures,程序,
accidents,事故,
ingenious problem-solving,巧妙的解决问题的方法,
Dr. Beane,贝恩博士,
burgeoning talent,崭露头角的人才,
grassroots innovations,基层创新,
senior manager,高级经理,
repo,代码库,
RHLF-trained robots,RHLF训练的机器人,
mechatronics,机电一体化,
FAAFO effect,FAAFO效应,
software kitchens,软件工作室,
human–AI collaboration,人机协作,
Product Prototyper,产品原型师,
Platform Designer,平台设计师,
Fleet Fixer,舰队修复者,
Agent Expert,代理专家,
Fleet Supervisor,舰队总监,
Platform Engineer,平台工程师,
Apex Builder,顶峰构建师,
Computer Science Curricula,计算机科学课程,
developer training pipeline,开发者培训流程,
algorithm,算法,
code reading,代码阅读,
David McCullough,大卫·麦卡洛,
version control discipline,版本控制纪律,
conflict-resolution expertise,冲突解决专业知识,
systematic approach,系统方法,
Software Modularity,软件模块化,
CS and software engineering,计算机科学与软件工程,
Entrepreneurial Awareness,创业意识,
business and revenue models,商业模式和收入模式,
pitch ideas,提出想法,
technical know-how,技术知识,
Toyota’s “standard work”,丰田的“标准作业”,
the Driﬂf,“Driﬂf”,
hidden innovators,隐藏的创新者,
AI-assisted workflows,AI辅助工作流,
Cultivate Your “Collaborative Cookbook”,培养你的“协作菜谱”,
living documents,活文档,
team’s discoveries,团队发现,
AI’s capabilities,AI的能力,
Mind-Meld,心灵契合,
Emergent Talent,新兴人才,
human–AI dance,人机协作,
kitchen’s future,厨房的未来,
New Literacies,新素养,
code comprehension,代码理解,
articulate communication,清晰沟通,
architectural thinking,架构思考,
AI-augmented world,人工智能增强的世界,
kitchen wisdom,厨房智慧,
continuous improvement,持续改进,
Layer 3 decisions,第3层决策,
self-contained task,自包含任务,
token-burn leaderboard,代币燃烧排行榜,
open-source community,开源社区,
feature matrices,特征矩阵,
judgment,判断,
agent-built prototype,代理构建的原型,
new recipes,新食谱,
push the craft forward,推动工艺向前发展,
adventure,冒险,
everyday coding life,日常编码生活,
colleagues,同事,
porting an ancient code base,移植古老代码库,
orchestrating a team of AI agents,编排AI团队,
grand endeavor,宏伟事业,
fellow learners,同行学习者,
join-vibe-coding-community,加入氛围编码社区,
API Key,API密钥,
Code AI,代码AI,
Generative AI,生成式AI,
API-based automation,基于API的自动化,
assistants with agentic behavior,具有代理行为的助手,
LLM-produced code indexes,LLM生成的代码索引,
Coding Assistant,代码助手,
context-aware,上下文感知的,
code snippets,代码片段,
Dynamic Context,动态上下文,
problem descriptions,问题描述,
intermediate code versions,中间代码版本,
debugging information,调试信息,
Foundation Model,基础模型,
Llama,Llama,
AI systems,人工智能系统,
new content,新内容,
text,文本,
user prompts,用户提示,
classification,分类,
prediction,预测,
novel outputs,新颖输出,
patterns,模式,
natural language dialogue,自然语言对话,
fabricated information,虚构信息,
functions,函数,
Inference Provider,推理服务提供商,
computational resources,计算资源,
AWS Bedrock,AWS Bedrock,
Azure OpenAI Service,Azure OpenAI 服务,
task graph model,任务图模型,
independent task,独立任务,
open-source language models,开源语言模型,
derivatives,衍生模型,
text data,文本数据,
Multi-Turn Conversation,多轮对话,
round trips,来回交互,
agentic behavior,智能体行为,
single-turn,单轮,
one-shot,一次性,
Ollama,Ollama,
One-Shot Query,一次性查询,
few-shot queries,少样本查询,
multi-turn conversations,多轮对话,
accuracy,准确性,
special requirements,特殊要求,
constraints,约束,
desired outputs,期望输出,
natural language,自然语言,
Prompt Library,提示库,
AI programming sessions,AI编程会话,
consistency,一致性,
knowledge base,知识库,
semantic meaning,语义意义,
content,内容,
patterns and conventions,模式和规范,
enterprise development,企业开发,
LLM sessions,LLM会话,
indexing,索引,
coding standards,编码标准,
architecture documents,架构文档,
administrative prompts,管理提示,
large bodies of data,大量数据,
issue trackers,问题跟踪器,
interconnected nodes,相互连接的节点,
nodes,节点,
information flow,信息流,
Token limits,标记限制,
V&V,验证与验证,
technical requirements,技术要求,
Checkpoint,检查点,
Detect,检测,
Verify,验证,
Always on watch,始终监控,
freezer,冷冻柜,
Correct,纠正,
Middle Developer Loop,中间开发者循环,
Written rules,书面规则,
Intentional AI coordination,有意的人工智能协调,
Waking up to eldritch AI-generated horrors,从恐怖的人工智能生成噩梦醒来,
Too many cooks: detecting agent contention,厨师太多：检测代理争用,
Sharpen your knives: investing in workflow automation,磨快你的刀：投资工作流自动化,
The economics of optionality,可选择性经济学,
Outer Developer Loop,外部开发者循环,
Don’t let your AI torch your bridges,不要让你的AI烧毁你的桥梁,
Minimize and modularize,最小化和模块化,
Managing fleets of agents,管理代理队伍,
Auditing through or around the kitchen,通过或绕过厨房进行审计,
"Making operations fast, ambitious, and fun",让操作快速、大胆且有趣,
When the AI throws everything out,当AI把所有东西都抛出来时,
CI/CD in the age of AI,在人工智能时代中的CI/CD,
Steve’s harrowing merge recovery tale,Steve的惊心动魄的合并恢复故事,
When you’re stuck with awful processes and architecture,当你陷入糟糕的过程和架构时,
Steve Spear,史蒂夫·斯佩尔,
MIT Sloan,麻省理工学院斯隆管理学院,
Matt Beane,马特·比恩,
UCSB,加州大学圣塔芭芭拉分校,
Adam Gordon Bell,亚当·戈登·贝尔,
CoRecursive,CoRecursive,
JD Black,JD 黑,
Northrop Grumman,诺斯罗普·格鲁门,
James Cham,詹姆斯·查姆,
Bloomberg Beta,彭博Beta,
Mike Carr,迈克·卡尔,
Vanguard,先锋,
Sean Corfeld,肖恩·科菲尔德,
World Singles Networks,世界单身网络,
Jason Cox,贾森·科克斯,
Disney,迪士尼,
Cornelia Davis,科妮莉亚·戴维斯,
Temporal Technologies,时间技术,
Derek DeBellis,德里克·德贝利斯,
Richard Feldman,理查德·费尔曼,
zed.dev,zed.dev,
Ben Grinnell,本·格里尼尔,
Jeff Gallimore,杰夫·加洛莫尔,
Excella,Excella,
Nathen Harvey,纳森·哈维,
Mitchell Hashimoto,米切尔·哈希imoto,
Elisabeth Hendrickson,伊丽莎白·亨德里克森,
Curious Duck,好奇鸭,
Christine Hudson,克里斯汀·哈德森,
The Welcome Elephant,欢迎象,
Christofer Hoff,克里斯托弗·霍夫,
LastPass,LastPass,
Tom Killilea,汤姆·基利,
Mik Kersten,米克·凯尔斯滕,
Planview,Planview,
Kerrick Long,凯里克·朗,
Over the Top Marketing,Over the Top Marketing,
Ryan Martens,瑞安·马滕斯,
Manifest,Manifest,
Kyle Moschetto,凯尔·莫舍托,
KMo,KMo,
Stuart Pearce,斯图尔特·皮尔斯,
John Rauser,约翰·劳瑟,
Cisco,思科,
Matt Ring,马特·林,
John Deere,约翰·迪尔,
Richard Seroter,理查德·塞奥特,
Randy Shoup,兰迪·休普,
Shive Market,Shive Market,
Steve Smith,史蒂夫·史密斯,
Equal Experts,Equal Experts,
Laura Tacho,劳拉·塔乔,
Mat Velloso,马特·维洛索,
Prashant Verma,普拉沙恩特·维尔马,
DoorDash,DoorDash,
Steve Wilson,史蒂夫·威尔逊,
Exabeam,Exabeam,
Adam Zimman,亚当·齐曼,
Mitesh Shah,米特什·沙,
Gaiwan,盖万,
Patrick,帕特里克,
Debois,Debois,
Brian Scott,Brian Scott,
Joseph Enochs,Joseph Enochs,
EVT,EVT,
Paige Bailey,Paige Bailey,
KentBeck.com,KentBeck.com,
MIT,麻省理工学院,
Jason Clinton,Jason Clinton,
Dr. Joe Davis,Joe Davis博士,
Microsot,微软,
Andrew Glover,Andrew Glover,
CBA,CBA,
Timothy Howard,Timothy Howard,
UK Defra,英国环境、食物和农村事务部,
Dr. Tapabrata Pal,Tapabrata Pal博士,
Fidelity Investments,富达投资,
Wharton,沃顿商学院,
Workhelix,Workhelix,
Ryan Sikorsky,Ryan Sikorsky,
Amy Willard,Amy Willard,
AMD,AMD,
CEO Sourcegraph,Sourcegraph首席执行官,
Beyang Liu,Beyang Liu,
CTO Sourcegraph,Sourcegraph首席技术官,
Chris Sells,Chris Sells,
Dr. Eric Fritz,Eric Fritz博士,
Erika Rice Scherpelz,Erika Rice Scherpelz,
Gergely Orosz,Gergely Orosz,
The Pragmatic Programmer,《实用程序员》,
Mike Schiraldi,Mike Schiraldi,
Oscar Wickström,Oscar Wickström,
Rik Nauta,Rik Nauta,
Robert Lathrop,Robert Lathrop,
Ghost Track,Ghost Track,
AI in the enterprise,企业AI,
willpower,意志力,
1999,1999,
"Tripwire, Inc.","Tripwire, Inc.",
enterprise security software,企业安全软件,
thirteen years,十三年,
Wall Street Journal,华尔街日报,
The Unicorn Project,《独角兽项目》,
The Phoenix Project,《凤凰项目》,
The DevOps Handbook,《DevOps手册》,
Shingo Publication Award,Shingo出版奖,
Accelerate,《加速》,
Philip Crosby Medal,菲利普·克罗斯比奖,
American Society for Quality (ASQ),美国质量协会(ASQ),
2014,2014,
DevOps Enterprise Summit,DevOps企业峰会,
GeoWorks,GeoWorks,
N-tier service architecture,N层服务架构,
Customer Service Tools,客户服务工具,
senior staff engineer,高级工程师,
senior engineering manager,高级工程经理,
Google’s internal Code Search system,谷歌内部代码搜索系统,
99% satisfaction rating,99%满意度评分,
ride-share and payments company,共享出行和支付公司,
Singapore,新加坡,
Cody AI assistant,Cody AI助手,
Code Search system,代码搜索系统,
Yegge Rant,Yegge Rant,
FooCafe,FooCafe,
Advancements and Future Directions in AI-Assisted Coding,AI辅助编码的进展与未来方向,
Cornago,Cornago,
500-Person GenAI and Developer Pilot,500人GenAI和开发者试点项目,
Beck,Beck,
Social AI Adoption,社交AI采用,
Hybrid Corn,杂交玉米,
Kalliamvakou,Kalliamvakou,
Happiness,幸福感,
Mauran,Mauran,
AI Software Engineer,AI软件工程师,
Nolan,Nolan,
Memories,记忆,
Company Passwords,公司密码,
Yegge,Yegge,
Stevey’s Google Platforms Rant,Stevey的Google平台狂言,
Lous,Lous,
Google Engineer,Google工程师,
"April 2, 2025",2025年4月2日,
Vas,Vas,
Gazit,Gazit,
develoopest,develoopest,
Prompt Engineer,Prompt Engineer,
Banks,Banks,
Motorhome,Motorhome,
Bhagsain,Bhagsain,
"May 14, 2025","May 14, 2025",
Meijer,Meijer,
Flowcon,Flowcon,
Adrian Cockcro,Adrian Cockcro,
Grove,Grove,
High Output Management,High Output Management,
Google C++ Style Guide,Google C++风格指南,
GitHub Organization,GitHub组织,
Olsson,Olsson,
Osorio,Osorio,
PyCoach,PyCoach,
Codex,Codex,
Ferriss,Ferriss,
The Tim Ferriss Show Transcripts,《蒂姆·费里斯秀》文稿,
Jerry Seinfeld,杰瑞·宋飞,
Comedy Legend,喜剧传奇,
Systems,系统,
Routines,例行程序,
Methods,方法,
January 2025,2025年1月,
Baldwin,Baldwin,
Design Rules,设计规则,
Eloundou,Eloundou,
et al.,等人,
GPTs Are GPTs,GPTs Are GPTs,
April 2025,2025年4月,
Dr. Nicholas Negroponte,尼葛洛庞帝博士,
MIT Media Lab,麻省理工学院媒体实验室,
"move bits, not atoms",移动比特，而非原子,
Lopez,Lopez,
The White House,白宫,
Sad Story,悲伤的故事,
American Jobs,美国工作,
Varanasi,Varanasi,
Human Workers,人类工人,
Andrew Ng,吴恩达,
The Death of the Junior Developer,初级开发者的死亡,
Cohen,Cohen,
AI replacing soware engineers,人工智能取代软件工程师,
Zavřel,Zavřel,
Smartphones,智能手机,
Acemoglu,Acemoglu,
Simple Macroeconomics,简单宏观经济学,
DeLong,DeLong,
The Reality of Economic Growth,经济增长的现实,
History and Prospect,历史与展望,
Matt Velloso,Matt Velloso,
Velloso,Velloso,
authors,作者,
Daron,Daron,
Massachusetts Institute of Technology,麻省理工学院,
"April 5, 2024",2024年4月5日,
Aguinaga,Aguinaga,
Jose,Jose,
HackerNoon,HackerNoon,
"October 3, 2016",2016年10月3日,
AI Engineer,AI工程师,
Beyang,Beyang,
"April 8, 2025",2025年4月8日,
Andon,Andon,
Paul,Paul,
Uber,Uber,
Algorithmic Management,算法管理,
Businessink,Businessink,
"October 29, 2023",2023年10月29日,
"April 18, 2025",2025年4月18日,
Carliss Y,Carliss Y,
Volume 2,第2卷,
The MIT Press,麻省理工学院出版社,
Ball,Ball,
AmpPodcast,AmpPodcast,
"April 15, 2025",2025年4月15日,
Suffolk Gazette,萨福克公报,
"October 3, 2022",2022年10月3日,
Beane,Beane,
The Skill Code,技能代码,
Harper Business,哈珀商业出版社,
Kent,Kent,
Tidy First,整洁第一,
Substack,Substack,
"April 9, 2025",2025年4月9日,
Belsky,Belsky,
LinkedIn,LinkedIn,
"December 20, 2024",2024年12月20日,
Anurag,Anurag,
"January 6, 2025",2025年1月6日,
Bland,Bland,
Mike,Mike,
Goto Fail,Goto Fail,
Heartbleed,Heartbleed,
MartinFowler.com,MartinFowler.com,
"June 3, 2014",2014年6月3日,
Borman,Borman,
Frank,Frank,
QuoteFancy,QuoteFancy,
"April 6, 2025",2025年4月6日,
Butler,Butler,
Jina Suh,Jina Suh,
Sankeerti Haniyur,Sankeerti Haniyur,
Constance Hadley,Constance Hadley,
Dear Diary,Dear Diary,
arXiv.org,arXiv.org,
"October 24, 2024",2024年10月24日,
Latent Space,Latent Space,
"May 7, 2025",2025年5月7日,
Dave,Dave,
Enterprise Tech Leadership Summit,企业技术领导力峰会,
IT Revolution,IT革命,
February 2025,2025年2月,
Culver,Culver,
Hannah,Hannah,
PagerDuty,PagerDuty,
Operations Cloud,运营云,
Spring 25 Release,Spring 25版本发布,
"February 25, 2025",2025年2月25日,
Anthropic’s CLI Agent,Anthropic CLI代理,
Kim,Kim,
Spear,Spear,
personal conversation,个人谈话,
the authors,作者们,
"April 23, 2025",2025年4月23日,
Collapse the Talent Stack Every Chance You Get,抓住每个机会缩减人才栈,
Butler et al.,Butler等,
A Randomized Controlled Trial,随机对照试验,
Generative AI Coding Tools,生成式AI编码工具,
the Workplace,工作场所,
Pair Programming Session,结对编程会议,
Sept 2024,2024年9月,
personal correspondence,私人通信,
AI-Native Developer Tools,AI原生开发者工具,
Wikipedia contributors,维基百科贡献者,
Auguste Escoffier,艾斯库菲尔,
DevOps Handbook,DevOps 手册,
Ken Exner,Ken Exner,
Director of Dev Productivity,开发生产力总监,
2015,2015,
DeBellis,DeBellis,
Kwa,Kwa,
Ability,能力,
Complete Long Tasks,完成长期任务,
Patel,Patel,
RL,强化学习,
AGI,通用人工智能,
Sholto Douglas,Sholto Douglas,
Trenton Bricken,Trenton Bricken,
Measuring AI Ability,衡量AI能力,
Derek,Derek,
Storer,Storer,
Kevin M.,Kevin M.,
Villalba,Villalba,
Michelle Irvine,Michelle Irvine,
Kim Castillo,Kim Castillo,
DORA Research,DORA研究,
Delfanti,Delfanti,
Alessandro,Alessandro,
The Warehouse,The Warehouse,
Workers,Workers,
Robots,Robots,
Pluto Press,Pluto Press,
Bradford,Bradford,
120–122,120–122,
De Sousa Pereira,De Sousa Pereira,
Vitor M.,Vitor M.,
The Insanity of Being a Soware Engineer,成为一名软件工程师的疯狂,
0x1,0x1,
"March 9, 2025",2025年3月9日,
Digital Workforce,Digital Workforce,
"April 19, 2025",2025年4月19日,
Distefano,Distefano,
Manuel Fähndrich,Manuel Fähndrich,
Francesco Logozzo,Francesco Logozzo,
Peter W. O’Hearn,Peter W. O’Hearn,
Communications of the ACM,ACM通讯,
August 2019,2019年8月,
Tyna,Tyna,
Sam Manning,Sam Manning,
Pamela Mishkin,Pamela Mishkin,
GPTs,GPTs,
"March 17, 2023",2023年3月17日,
Ericsson,Ericsson,
Anders,Anders,
Robert Pool,Robert Pool,
Peak,Peak,
Secrets from the New Science of Expertise,新科学专长之谜,
Mariner Books,Mariner Books,
2016,2016,
Tim,Tim,
Comedy Legend’s Systems,喜剧传奇的系统,
Methods for Success,成功方法,
The Blog of Author Tim Ferriss,蒂姆·费里斯作者的博客,
"July 20, 2021",2021年7月20日,
Velocity and Volume,速度与规模,
YouTube video,YouTube视频,
"December 18, 2013",2013年12月18日,
"October 19, 2023",2023年10月19日,
Forsgren,Forsgren,
Nicole,Nicole,
The Science of Lean Software and DevOps,精益软件和DevOps的科学,
Building and Scaling High Performing Technology Organizations,构建和扩展高性能技术组织,
2018,2018,
Garret,Garret,
Erann Gat,Erann Gat,
Lisping at JPL,在JPL的Lisp,
2002,2002,
Idan,Idan,
Reaching for AI-Native Developer Tools,迈向AI原生开发工具,
C++ Style Guide,C++风格指南,
Andrew S.,Andrew S.,
Vintage,Vintage,
Guntur,Guntur,
Prabhudev,Prabhudev,
AI Agent Framework,AI代理框架,
Google ADK,Google ADK,
Autogen,Autogen,
Langchain,Langchain,
CrewAI,CrewAI,
Medium,Medium,
Heavybit,Heavybit,
O11ycast,O11ycast,
Augmented Coding,增强编码,
"April 30, 2025",2025年4月30日,
Heelan,Heelan,
CVE-2025-37899,CVE-2025-37899,
Remote Zero-Day Vulnerability,远程零日漏洞,
Linux Kernel’s SMB Implementation,Linux内核的SMB实现,
Sean Heelan’s Blog,Sean Heelan的博客,
"May 26, 2025",2025年5月26日,
Hickey,Hickey,
Proceedings of the ACM on Programming Languages,ACM程序设计语言会议记录,
Brendan,Brendan,
LinkedIn post,LinkedIn帖子,
Eirini,Eirini,
GitHub Blog,GitHub博客,
"May 21, 2024",2024年5月21日,
Kersten,Kersten,
O’Connell,O’Connell,
Keenan,Keenan,
2023 State of DevOps Report,2023 DevOps 状态报告,
Nathani,Nathani,
Yang,Yang,
Datasette,Datasette,
Wickett,Wickett,
Information Security,信息安全,
Automated Change Management,自动化变更管理,
Humble,Humble,
Sturtevant,Sturtevant,
System Design,系统设计,
Cost of Architectural Complexity,架构复杂性成本,
The Missing Manual,缺失手册,
Pool,Pool,
Beatrice,贝阿特丽斯,
Information Security Officer,信息安全官,
Fortune,财富,
Ronak,罗纳克,
Guang Yang,杨光,
Software Misadventures Podcast,软件冒险播客,
"September 10, 2024",2024年9月10日,
"February 24, 2025",2025年2月24日,
Kevin Gargate,凯文·加加特,
Artificial Corner,人工智能角,
Dwarkesh,德瓦克什,
The Verge,The Verge,
"April 7, 2025",2025年4月7日,
UiPath,UiPath,
Daniel Dines,丹尼尔·迪内斯,
IT Revolution Enterprise Summit Europe,欧洲IT革命企业峰会,
Programmers,程序员,
"April 1, 2025",2025年4月1日,
CTOs,CTO,
"March 28, 2025",2025年3月28日,
Tan,坦,
Garry,加里,
Winter 2025,2025年冬季,
"March 5, 2025",2025年3月5日,
Unwrap,Unwrap,
GitHub’s Copilot,GitHub的Copilot,
"August 5, 2024",2024年8月5日,
Lakshmi,拉克希米,
Business Insider,Business Insider,
"March 16, 2025",2025年3月16日,
"May 24, 2025",2025年5月24日,
James,詹姆斯,
November 2024,2024年11月,
Willison,威利森,
Simon Willison’s Weblog,西蒙·威利森的博客,
"March 11, 2025",2025年3月11日,
Wu,吴,
Scott,斯科特,
Cognition,认知,
"March 12, 2024",2024年3月12日,
"August 14, 2020",2020年8月14日,
Google Platforms,谷歌平台,
chitchcock,chitchcock,
"May 28, 2025",2025年5月28日,
GitHub Gist,GitHub Gist,
AI-assisted coding,AI辅助编码,
CLI Agent,CLI 代理,
Andrej,Andrej,
Swiﬁ,Swiﬁ,
"March 22, 2025",2025年3月22日,
"April 24, 2025",2025年4月24日,
"February 2, 2025",2025年2月2日,
Nigel,Nigel,
Caitlyn O’Connell,Caitlyn O’Connell,
Ronan Keenan,Ronan Keenan,
2023 State of DevOps Report: Platform Engineering Edition,2023年DevOps报告：平台工程版,
"Portland, OR",俄勒冈州波特兰,
Puppet by Perforce,Puppet by Perforce,
Patrick Debois,Patrick Debois,
John Willis,John Willis,
Nicole Forsgren,Nicole Forsgren,
2nd ed,第2版,
Tomas,Tomas,
Ben West,Ben West,
Joel Becker,Joel Becker,
"May 16, 2025",2025年5月16日,
Levy,Levy,
Alon Jacoby,Alon Jacoby,
Yoav Goldberg,Yoav Goldberg,
"February 19, 2024",2024年2月19日,
"October 12, 2011",2011年10月12日,
Business Insider Nederland,Business Insider Nederland,
"July 25, 2017",2017年7月25日,
Lutke,Lutke,
Reﬂexive AI,Reﬂexive AI,
MacroTrends,MacroTrends,
SHOP,SHOP,
McCullough,McCullough,
National Endowment for the Humanities,美国国家人文基金会,
Jefferson Lecture,杰斐逊演讲,
2003,2003年,
Erik,Erik,
Microso Build 2025,微软Build 2025,
Day 2 Keynote,第二天主题演讲,
Replay,Replay,
"May 20, 2025",2025年5月20日,
Mollick,Mollick,
Montti,Montti,
blog,博客,
"June 24, 2024",2024年6月24日,
Roman,Roman,
Letem Svetem Applem,Letem Svetem Applem,
"April 19, 2024",2024年4月19日,
Photos,照片,
Average American,美国平均人,
20 photos,20张照片,
May 2025,2025年5月,
Photography Revolution,摄影革命,
global photographs,全球照片,
5-year period,五年期,
Film Era,胶片时代,
Early Digital,早期数字时代,
Smartphone Revolution,智能手机革命,
x-axis,X轴,
y-axis,Y轴,
billions,十亿,
13 trillion photographs,130万亿张照片,
Mind-Blowing Growth,令人惊叹的增长,
"54,000%","54,000%",
Auth Library,认证库,
Auth Impl,认证实现,
Token Logic,令牌逻辑,
Automate Deployment,自动化部署,
Web & Mobile Clients,Web和移动客户端,
"Tests, Docs",测试，文档,
Core Application,核心应用,
Platform & API,平台与API,
Set-up Tools & Repos,设置工具和仓库,
Automate Build/Test,自动化构建/测试,
Provision Infrastructure,提供基础设施,
Capacity Planning,容量规划,
Deploy Clusters,部署集群,
DNS & LB,DNS和负载均衡器,
Budgeting,预算,
interconnections,互连,
iterative nature,迭代特性,
flow of tasks,任务流程,
relationships between components,组件之间的关系,
Soware Engineer,软件工程师,
local data sources,本地数据源,
remote server,远程服务器,
MCP Protocol,MCP协议,
Host with MCP Client,带有MCP客户端的主机,
MCP Server A,MCP服务器A,
MCP Server B,MCP服务器B,
MCP Server C,MCP服务器C,
Web APIs,Web API,
Remote Server B,远程服务器B,
circular flowchart,圆形流程图,
iterative process,迭代过程,
subtask,子任务,
execution,执行,
internal loop,内部循环,
external loop,外部循环,
planning,规划,
area charts,面积图,
introduction of code,代码引入,
retention of code,代码保留,
codebases,代码库,
lines of code,代码行数,
year,年,
shaded layer,阴影层,
steady increase,稳步增长,
growth slows,增长放缓,
plateau,平台期,
Real ROI,实际投资回报率,
Enterprise SDLC,企业软件开发生命周期,
Web,网络,
25 NW 23rd Pl,25 NW 23rd Pl,
Suite 6314,6314室,
"Portland, OR 97210",波特兰，俄勒冈州 97210,
"IT Revolution Press, LLC",IT革命出版社有限公司,
"25 NW 23rd Pl, Suite 6314","25 NW 23rd Pl, 6314室",
Library of Congress Control Number,国会图书馆控制编号,
2025022944,2025022944,
Paperback,平装本,
9781966280026,9781966280026,
Ebook,电子书,
9781966280033,9781966280033,
9781966280040,9781966280040,
www.ITRevolution.com,www.ITRevolution.com,
